photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Deciduous,Notes
50549825,Symphyotrichum laeve,0,https://www.inaturalist.org/photos/50549825,9,56,1,1,-105.31,40.69,0,Shrub
226949524,Pinus ponderosa,0,https://www.inaturalist.org/photos/226949524,9,57,1,1,-105.35,40.69,1,Tall tree and likely seedlings
59340357,NA,0,https://www.inaturalist.org/photos/59340357,1,58,1,1,-105.31,40.69,0,Shrub
38365903,Setophaga coronata coronata,0,https://www.inaturalist.org/photos/38365903,5,59,0,1,-105.24,40.7,0,Shrub or tree
413241836,Odocoileus hemionus,0,https://www.inaturalist.org/photos/413241836,7,60,NA,1,-105.18,40.58,0,Shrub
231240126,Populus angustifolia,0,https://www.inaturalist.org/photos/231240126,9,61,0,1,-105.48,40.68,1,
15108641,Berberis repens,0,https://www.inaturalist.org/photos/15108641,3,62,1,1,-105.37,40.69,0,
75276939,NA,0,https://www.inaturalist.org/photos/75276939,5,63,0,NA,-105.5,40.69,0,Shrub
159294781,NA,0,https://www.inaturalist.org/photos/159294781,9,64,NA,1,-105.18,40.59,0,
145146204,Robinia hispida,0,https://www.inaturalist.org/photos/145146204,7,65,1,1,-105.31,40.7,1,
390606396,NA,0,https://www.inaturalist.org/photos/390606396,5,66,1,2,-105.4,40.68,1,
199855618,Alnus incana,0,https://www.inaturalist.org/photos/199855618,5,67,1,2,-105.35,40.67,1,Alder
199858772,Alnus incana,0,https://www.inaturalist.org/photos/199858772,5,68,1,4,-105.34,40.66,1,Alder
237448910,Celtis occidentalis,0,https://www.inaturalist.org/photos/237448910,10,69,1,1,-105.19,40.58,1,
237444994,Acer glabrum,0,https://www.inaturalist.org/photos/237444994,10,70,NA,1,-105.18,40.58,1,
74609705,Acer glabrum,0,https://www.inaturalist.org/photos/74609705,5,71,1,1,-105.19,40.58,1,
237447776,Acer negundo,0,https://www.inaturalist.org/photos/237447776,10,72,1,1,-105.19,40.58,1,
437132168,Acer glabrum,0,https://www.inaturalist.org/photos/437132168,9,73,1,1,-105.35,40.69,1,
408761498,Pinus ponderosa,0,https://www.inaturalist.org/photos/408761498,7,74,NA,NA,-105.54,40.75,0,Shrub
38366064,Acer negundo,0,https://www.inaturalist.org/photos/38366064,5,75,0,2,-105.25,40.7,1,
56396900,Cercocarpus montanus,0,https://www.inaturalist.org/photos/56396900,11,76,1,2,-105.37,40.64,1,
173013456,Betula pendula,0,https://www.inaturalist.org/photos/173013456,11,77,NA,1,-105.18,40.58,1,
131112292,Prunus virginiana,0,https://www.inaturalist.org/photos/131112292,5,78,NA,1,-105.18,40.58,1,
40044574,Betula occidentalis,0,https://www.inaturalist.org/photos/40044574,5,79,0,1,-105.24,40.7,1,
25518176,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/25518176,9,80,0,1,-105.19,40.59,0,Shrub
19296309,Cercocarpus montanus,0,https://www.inaturalist.org/photos/19296309,5,81,1,1,-105.31,40.69,1,
280305479,Pinus contorta,0,https://www.inaturalist.org/photos/280305479,2,82,0,NA,-105.54,40.65,0,
139810561,NA,0,https://www.inaturalist.org/photos/139810561,6,83,1,2,-105.35,40.68,0,Unknown
207859446,Pinus ponderosa,0,https://www.inaturalist.org/photos/207859446,6,84,1,2,-105.32,40.69,0,
74610050,Pinus ponderosa,0,https://www.inaturalist.org/photos/74610050,5,85,1,1,-105.19,40.58,0,Unknown
41787419,Prunus americana,0,https://www.inaturalist.org/photos/41787419,5,86,1,1,-105.31,40.69,1,
199842922,Acer negundo,0,https://www.inaturalist.org/photos/199842922,5,87,1,2,-105.35,40.68,1,
416719016,Spiranthes romanzoffiana,0,https://www.inaturalist.org/photos/416719016,8,88,1,3,-105.51,40.61,1,
283825806,Acer negundo,0,https://www.inaturalist.org/photos/283825806,5,89,1,3,-105.31,40.68,1,
387615729,NA,0,https://www.inaturalist.org/photos/387615729,5,90,1,1,-105.35,40.69,1,
83987165,Apocynum cannabinum,0,https://www.inaturalist.org/photos/83987165,7,91,1,1,-105.31,40.69,0,
196111137,Acer glabrum,0,https://www.inaturalist.org/photos/196111137,5,92,0,1,-105.24,40.7,1,
285392454,Salix amygdaloides,0,https://www.inaturalist.org/photos/285392454,5,93,1,1,-105.31,40.69,1,
155026975,Ribes aureum,0,https://www.inaturalist.org/photos/155026975,9,94,0,1,-105.19,40.59,0,Shrub
413617618,Betula occidentalis,0,https://www.inaturalist.org/photos/413617618,7,95,0,1,-105.24,40.7,1,
159294748,Amelanchier alnifolia,0,https://www.inaturalist.org/photos/159294748,9,96,NA,1,-105.18,40.59,1,
387253644,Prunus virginiana,0,https://www.inaturalist.org/photos/387253644,5,97,NA,1,-105.18,40.58,1,
159294336,Ribes aureum,0,https://www.inaturalist.org/photos/159294336,9,98,NA,1,-105.18,40.59,0,
160901005,Cornus sericea,0,https://www.inaturalist.org/photos/160901005,10,99,1,2,-105.44,40.68,0,Shrub
268316868,Rhus trilobata,0,https://www.inaturalist.org/photos/268316868,4,100,1,2,-105.32,40.69,0,Shrub
237449131,Eriophyes emarginatae,0,https://www.inaturalist.org/photos/237449131,10,101,1,1,-105.19,40.58,0,Likely shrub
429137742,Amelanchier alnifolia,0,https://www.inaturalist.org/photos/429137742,9,102,1,1,-105.21,40.66,1,
322564361,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/322564361,9,103,0,1,-105.29,40.7,0,
324595797,Populus tremuloides,0,https://www.inaturalist.org/photos/324595797,10,104,0,1,-105.48,40.68,1,
199511734,Shepherdia canadensis,0,https://www.inaturalist.org/photos/199511734,5,105,1,2,-105.3,40.65,0,Shrub
267476601,Populus tremuloides,0,https://www.inaturalist.org/photos/267476601,4,106,1,1,-105.19,40.58,1,
159294461,Rubus deliciosus,0,https://www.inaturalist.org/photos/159294461,9,107,NA,1,-105.18,40.59,0,Shrub
237448327,Betula occidentalis,0,https://www.inaturalist.org/photos/237448327,10,108,1,1,-105.19,40.58,1,
231265093,NA,0,https://www.inaturalist.org/photos/231265093,9,109,0,1,-105.48,40.68,1,
221000235,NA,0,https://www.inaturalist.org/photos/221000235,7,110,1,1,-105.2,40.59,1,
320207961,Populus angustifolia,0,https://www.inaturalist.org/photos/320207961,9,111,0,3,-105.27,40.65,0,Tree is too big to be postire
41865933,Camelina microcarpa,0,https://www.inaturalist.org/photos/41865933,6,112,0,2,-105.25,40.7,0,
199855684,Alnus incana,0,https://www.inaturalist.org/photos/199855684,5,113,1,2,-105.35,40.67,1,Alder
199881607,Betula occidentalis,0,https://www.inaturalist.org/photos/199881607,5,114,1,2,-105.35,40.68,1,
199859275,Populus angustifolia,0,https://www.inaturalist.org/photos/199859275,5,115,1,4,-105.35,40.66,1,
343778395,Cercocarpus montanus,0,https://www.inaturalist.org/photos/343778395,12,116,1,1,-105.31,40.7,1,
420072782,Pinus ponderosa,0,https://www.inaturalist.org/photos/420072782,8,117,1,1,-105.27,40.61,0,
322356293,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/322356293,9,118,0,1,-105.28,40.7,0,
47195501,Andropogon gerardi,0,https://www.inaturalist.org/photos/47195501,7,119,NA,1,-105.18,40.58,0,Likely shrub
152343524,Prunus virginiana,0,https://www.inaturalist.org/photos/152343524,8,120,1,2,-105.32,40.69,1,
147936560,Acer glabrum,0,https://www.inaturalist.org/photos/147936560,7,121,1,1,-105.37,40.69,1,
263159105,Populus tremuloides,0,https://www.inaturalist.org/photos/263159105,3,122,1,3,-105.29,40.72,1,
438154213,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/438154213,10,123,1,1,-105.24,40.68,0,
429137809,Salix famelica,0,https://www.inaturalist.org/photos/429137809,9,124,1,1,-105.21,40.66,1,
152608266,Eriogonum alatum,0,https://www.inaturalist.org/photos/152608266,8,125,0,NA,-105.19,40.57,0,
432289928,Cornus sericea,0,https://www.inaturalist.org/photos/432289928,9,126,0,NA,-105.52,40.7,0,Shrub
19292068,Harbouria trachypleura,0,https://www.inaturalist.org/photos/19292068,5,127,1,1,-105.34,40.69,0,
424976583,NA,0,https://www.inaturalist.org/photos/424976583,8,128,0,1,-105.29,40.7,0,Shrub
41788687,Ribes aureum aureum,0,https://www.inaturalist.org/photos/41788687,5,129,1,1,-105.31,40.69,0,Shrub
41800071,Prunus americana,0,https://www.inaturalist.org/photos/41800071,5,130,1,1,-105.31,40.69,1,
281128433,NA,0,https://www.inaturalist.org/photos/281128433,5,131,NA,NA,-105.18,40.57,1,Likely tree
