photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Coniferous,Notes
28163746,Solidago nana,0,https://www.inaturalist.org/photos/28163746,9,51,1,1,-105.31,40.69,0,
75779177,Pinus ponderosa,0,https://www.inaturalist.org/photos/75779177,5,52,0,NA,-105.47,40.69,0,
52532647,Pinus ponderosa,0,https://www.inaturalist.org/photos/52532647,6,53,0,NA,-105.19,40.57,0,
322564830,Pinus ponderosa,0,https://www.inaturalist.org/photos/322564830,9,54,0,1,-105.29,40.7,1,"Trees are a little big, but photo was taken in 2023 so it could be ~11 years old. Keep tentatively "
432166827,Eriogonum alatum,0,https://www.inaturalist.org/photos/432166827,9,55,0,NA,-105.52,40.7,1,
236651682,Pinus ponderosa,0,https://www.inaturalist.org/photos/236651682,10,56,1,1,-105.19,40.58,0,
352303727,NA,0,https://www.inaturalist.org/photos/352303727,2,57,1,1,-105.32,40.71,0,"Possible, could not confirm seedlings"
196108482,Pinus edulis,0,https://www.inaturalist.org/photos/196108482,5,58,0,1,-105.24,40.7,1,"Possible, likely seedlings"
352304004,NA,0,https://www.inaturalist.org/photos/352304004,2,59,1,1,-105.31,40.71,1,"Trees are a little big, but photo was taken in 2024 so it could be ~12 years old. Keep tentatively "
352293819,NA,0,https://www.inaturalist.org/photos/352293819,2,60,1,1,-105.31,40.7,0,
29652278,Alces alces,0,https://www.inaturalist.org/photos/29652278,6,61,0,NA,-105.54,40.58,1,"Trees are a little big, but photo was taken in 2017 so it could be ~5 years old. Keep tentatively "
41865933,Camelina microcarpa,0,https://www.inaturalist.org/photos/41865933,6,62,0,2,-105.25,40.7,0,"Possible, could not confirm seedlings"
237446310,Juniperus communis,0,https://www.inaturalist.org/photos/237446310,10,63,0,1,-105.18,40.58,0,Juniper
424972247,Pinus ponderosa,0,https://www.inaturalist.org/photos/424972247,8,64,0,1,-105.29,40.7,0,"Possible, could not confirm seedlings"
215635240,Pinus contorta,0,https://www.inaturalist.org/photos/215635240,7,65,1,2,-105.3,40.65,0,
151129905,NA,0,https://www.inaturalist.org/photos/151129905,8,66,0,NA,-105.49,40.75,0,
352303939,NA,0,https://www.inaturalist.org/photos/352303939,2,67,1,1,-105.31,40.71,0,"Possible, could not confirm seedlings"
215635166,Pinus contorta,0,https://www.inaturalist.org/photos/215635166,7,68,1,2,-105.3,40.65,0,
352303721,NA,0,https://www.inaturalist.org/photos/352303721,2,69,1,1,-105.32,40.71,0,
264434588,Juniperus communis,0,https://www.inaturalist.org/photos/264434588,4,70,1,1,-105.2,40.58,0,Juniper
375814422,Cyanocitta stelleri,0,https://www.inaturalist.org/photos/375814422,3,71,1,1,-105.19,40.58,1,
236647897,Pinus ponderosa,0,https://www.inaturalist.org/photos/236647897,10,72,1,1,-105.19,40.58,0,
404438000,Picea pungens,0,https://www.inaturalist.org/photos/404438000,6,73,1,4,-105.43,40.61,0,"Possible, could not confirm seedlings"
142456920,Juniperus communis,0,https://www.inaturalist.org/photos/142456920,7,74,1,2,-105.3,40.65,0,Juniper
201128953,Pinus ponderosa,0,https://www.inaturalist.org/photos/201128953,6,75,0,NA,-105.19,40.57,0,
16194682,NA,0,https://www.inaturalist.org/photos/16194682,4,76,0,NA,-105.51,40.69,0,
155063666,NA,0,https://www.inaturalist.org/photos/155063666,7,77,0,NA,-105.19,40.57,0,
409560334,Ribes cereum,0,https://www.inaturalist.org/photos/409560334,7,78,0,NA,-105.49,40.69,1,
413241775,Sitta pygmaea,0,https://www.inaturalist.org/photos/413241775,7,79,0,1,-105.18,40.58,0,
396794615,Pinus ponderosa,0,https://www.inaturalist.org/photos/396794615,6,80,0,1,-105.24,40.7,1,"Trees are a little big, but photo was taken in 2024 so it could be ~12 years old. Keep tentatively "
