query_annot,query_label,query_url,rank,neighbor_annot,neighbor_label,neighbor_url,distance
201703028,,https://www.inaturalist.org/photos/201703028,2,acab09b31,,acab09b31.jpg,0.4473463296890259
201704105,,https://www.inaturalist.org/photos/201704105,1,acab09b31,,acab09b31.jpg,0.4438561201095581
179777344,,https://www.inaturalist.org/photos/179777344,2,adfed28d2,,adfed28d2.jpg,0.5189054012298584
179777375,,https://www.inaturalist.org/photos/179777375,2,adfed28d2,,adfed28d2.jpg,0.5189054012298584
92221803,,https://www.inaturalist.org/photos/92221803,3,b1cb8b5ed,,b1cb8b5ed.jpg,0.4268466234207153
92221805,,https://www.inaturalist.org/photos/92221805,2,b1cb8b5ed,,b1cb8b5ed.jpg,0.368903636932373
242385420,,https://www.inaturalist.org/photos/242385420,1,b851af780,,b851af780.jpg,0.1742964386940002
242385504,,https://www.inaturalist.org/photos/242385504,1,b851af780,,b851af780.jpg,0.2381051778793335
181351671,,https://www.inaturalist.org/photos/181351671,2,be36659b0,,be36659b0.jpg,0.3892855048179626
181351708,,https://www.inaturalist.org/photos/181351708,3,be36659b0,,be36659b0.jpg,0.3919259309768677
155958369,,https://www.inaturalist.org/photos/155958369,2,d5b30fcb4,,d5b30fcb4.jpg,0.4392498731613159
175619399,,https://www.inaturalist.org/photos/175619399,2,d5b30fcb4,,d5b30fcb4.jpg,0.4090041518211365
7535547,,https://www.inaturalist.org/photos/7535547,1,d77d97b9f,,d77d97b9f.jpg,0.2854864597320556
7535549,,https://www.inaturalist.org/photos/7535549,2,d77d97b9f,,d77d97b9f.jpg,0.1990842819213867
26077575,,https://www.inaturalist.org/photos/26077575,1,d77d97b9f,,d77d97b9f.jpg,0.4223149418830871
148342618,,https://www.inaturalist.org/photos/148342618,3,d8dd7c977,,d8dd7c977.jpg,0.2419599294662475
148635887,,https://www.inaturalist.org/photos/148635887,1,d8dd7c977,,d8dd7c977.jpg,0.1705467104911804
168045431,,https://www.inaturalist.org/photos/168045431,1,da8469f0a,,da8469f0a.jpg,0.4500729441642761
168218838,,https://www.inaturalist.org/photos/168218838,2,da8469f0a,,da8469f0a.jpg,0.4671881198883056
179777344,,https://www.inaturalist.org/photos/179777344,1,e2b6b121f,,e2b6b121f.jpg,0.4941069483757019
179777375,,https://www.inaturalist.org/photos/179777375,1,e2b6b121f,,e2b6b121f.jpg,0.4941069483757019
154509317,,https://www.inaturalist.org/photos/154509317,1,f940213d6,,f940213d6.jpg,0.3295456767082214
312506589,,https://www.inaturalist.org/photos/312506589,1,f940213d6,,f940213d6.jpg,0.3298681378364563
7535547,,https://www.inaturalist.org/photos/7535547,2,fe336c1d4,,fe336c1d4.jpg,0.3131588697433471
7535549,,https://www.inaturalist.org/photos/7535549,1,fe336c1d4,,fe336c1d4.jpg,0.1359245181083679
